和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)

アイアナタケ,Grammothele fuligo,,Grammothele fuligo (Berk. & Broome) Ryvarden,タマチョレイタケ科,グラムモセレ属,Polyporaceae,Grammothele,"Grammothele fuligo (Berk. & Broome) Ryvarden, Transactions of the British Mycological Society 73: 15 (1979) [MB#314701]","Tinctoporia fuligo (Berk. & Broome) Murrill, Mycologia 13 (2): 123 (1921) [MB#265517]

<br />Porogramme camptogramma Pat., Bulletin de la Société Mycologique de France 29: 208 (1913) [MB#196927]<br />Porogramme fuligo (Berk. & Broome) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 64 (1900) [MB#119014]

<br />Poria glauca Pat., Journal de Botanique (Morot) 5: 312 (1891) [MB#177801]

<br />Poria fuligo (Berk. & Broome) Sacc., Sylloge Fungorum 6: 307 (1888) [MB#174280]

<br />Polyporus buettneri Henn., Verhandlungen des Botanischen Vereins der Provinz Brandenburg 30: 129 (1888) [MB#188379]

<br />Polyporus buttneri Henn. (1888) [MB#472460]

<br />Polyporus fuligo Berk. & Broome, Journal of the Linnean Society. Botany 14: 53 (1875) [MB#440366]

<br />Polyporus ravenalae Berk. & Broome, Journal of the Linnean Society. Botany 14: 53 (1875) [MB#472801]

"

アイイロカブトゴケ,Lobaria isidiosa,,,,,,,"Lobaria isidiosa (Müll. Arg.) Vain., Philippine Journal of Science Section C Botany 8 (2): 129 (1913) [MB#394839]","Lobarina isidiosa (Müll. Arg.) Inumaru (1943) [MB#367917]<br />Cetraria braunsiana f. isidiosa (Müll. Arg.) Zahlbr. (1929) [MB#475261]

<br />Lobaria retigera f. isidiosa (Müll. Arg.) Vain., Hedwigia Beiblätter 37: 35 (1898) [MB#458260]

<br />Sticta retigera f. isidiosa Müll. Arg., Flora (Regensburg) 65 (19): 300 (1882) [MB#465959]

"

アイオオイチョウタケ,Leucopaxillus paradoxus,,Leucopaxillus paradoxus (Costantin & L.M. Dufour) Boursier,キシメジ科,オオイチョウタケ属,Tricholomataceae,Leucopaxillus,"Leucopaxillus paradoxus (Costantin & L.M. Dufour) Boursier, Bulletin de la Société Mycologique de France 41: 393 (1925) [MB#273556]","Leucopaxillus albissimus var. paradoxus (Costantin & L.M. Dufour) Singer & A.H. Sm., Papers of the Michigan Academy of Sciences 28: 112 (1943) [MB#351756]

<br />Lepista paradoxa (Costantin & L.M. Dufour) Maire, Bulletin de la Société Mycologique de France 40 (3): 307 (1926) [MB#273545]

<br />Clitocybe albiformis Murrill, Mycologia 5 (4): 206 (1913) [MB#205501]<br />Clitocybe paradoxa Costantin & L.M. Dufour, Nouvelle flore des champignons pour la détermination facile de toutes les espèces de France: 262 (1896) [MB#189085]

"

アイカシワギタケ,Cortinarius cyanites,イロガワリムラサキシメジモドキ,Cortinarius cyanites Fr.,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius cyanites Fr., Epicrisis Systematis Mycologici: 279 (1838) [MB#224603]","Cortinarius subcyanites Bidaud, Atlas des Cortinaires 15: 1032 (2005) [MB#357357]

<br />Cortinarius pseudocyanites var. paucus Reumaux, Atlas des Cortinaires 15: 1032 (2005) [MB#356246]<br />Cyanicium cyanites (Fr.) Locq., Flore mycologique 3: 146 (1979) [MB#312394]

<br />Phlegmacium cyanites (Fr.) M.M. Moser, Die Gattung Phlegmacium (Schleimköpfe). Die Pilze Mitteleuropas 4: 337 (1960) [MB#336366]

<br />Gomphos cyanites (Fr.) Kuntze, Revisio generum plantarum 3 (2): 853 (1898) [MB#629109]

"

アイカワタケ,Sporotrichum versisporum,"オオウズラタケ，
ヒラフスベ",Laetiporus versisporus (Lloyd) Imazeki,ツガサルノコシカケ科,アイカワタケ属,Fomitopsidaceae,Laetiporus,"Sporotrichum versisporum (Lloyd) Stalpers, Studies in Mycology 24: 25 (1984) [MB#107309]","Laetiporus versisporus (Lloyd) Imazeki, Bulletin of the Tokyo Science Museum 6: 88 (1943) [MB#299349]

<br />Polyporus calvatioides Imazeki, J. Jap. Bot.: 269 (1940) [MB#289814]

<br />Ptychogaster aureus Lloyd, Mycological Writings 6 (65): 1063 (1921) [MB#257921]<br />Ptychogaster versisporus (Lloyd) Lloyd, Mycological Writings 6 (64): 1005 (1920) [MB#255368]

<br />Ceriomyces neumanii Bres., Annales Mycologici 18 (1-3): 41 (1920) [MB#151236]

<br />Calvatia versispora Lloyd, Mycol. Lett.: 7 (1915) [MB#160408]

<br />Calvatia versipora Lloyd (1915) [MB#521599]

<br />Ptychogaster aurantiacus Pat., Revue Mycologique Toulouse 7: 29 (1885) [MB#438943]

"

アイコウヤクタケ,Terana caerulea,"コンイロコウヤクタケ，
アイイロオオコウヤクタケ",Terana caerulea (Lam.) Kuntze,マクカワタケ科,アイコウヤクタケ属,Phanerochaetaceae,Terana,"Terana caerulea (Schrad. ex Lam.) Kuntze, Revisio generum plantarum 2: 872 (1891) [MB#449552]","Pulcherricium caeruleum (Lam.) Parmasto (1968) [MB#338022]

<br />Pulcherricium coeruleum (Schrad. ex Lam.) Parmasto, Conspectus Systematis Corticiacearum: 133 (1968) [MB#279303]<br />Terana coerulea (Schrad. ex Lam.) Kuntze, Revisio generum plantarum 2: 872 (1891) [MB#493426]

<br />Corticium caeruleum (Schrad. ex Lam.) Fr., Epicrisis Systematis Mycologici: 562 (1838) [MB#189771]

<br />Corticium coeruleum (Schrad. ex Lam.) Fr., Epicrisis Systematis Mycologici: 562 (1838) [MB#491268]

<br />Athelia coerulea (Schrad. ex Lam.) Chevall., Flore Générale des Environs de Paris 1: 85 (1826) [MB#490589]

<br />Athelia caerulea (Schrder ex Lam.) Chevall., Flore Générale des Environs de Paris 1: 85 (1826) [MB#439682]

<br />Hypochnus coeruleus (Schrad. ex Lam.) Fr., Observationes mycologicae 2: 279 (1818) [MB#473281]

<br />Thelephora coerulea (Schrad. ex Lam.) DC., Flore française 2: 107 (1805) [MB#493433]

<br />Thelephora caerulea (Schrad. ex Lam.) DC., Flore française 2: 107 (1805) [MB#355994]

<br />Thelephora caerulea Schrad., Spic. Fl. Germ. (1794) [MB#473446]

<br />Byssus caerulea Schrad. ex Lam. (1779) [MB#439708]

<br />Byssus coerulea Schrad. ex Lam., Flore française 1: 103 (1779) [MB#490696]

"

アイシメジ,Tricholoma sejunctum,,Tricholoma sejunctum (Sow. ) Quél.,キシメジ科,キシメジ属,Tricholomataceae,Tricholoma,"Tricholoma sejunctum (Sowerby) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 76 (1872) [MB#192411]","Melanoleuca sejuncta (Sowerby) Murrill, North American Flora 10 (1): 25 (1914) [MB#102468]<br />Gyrophila sejuncta (Sowerby) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 10 (1886) [MB#521096]

<br />Agaricus leucoxanthus var. sejunctus (Sowerby) Pers., Mycologia Europaea 3: 181 (1828) [MB#497904]

<br />Agaricus sejunctus Sowerby, Coloured Figures of English Fungi 2: 54 , t. 126 (1799) [MB#375257]

"

アイセンボンタケ,Psilocybe fasciata,,Psilocybe fasciata Hongo,モエギタケ科,シビレタケ属,Strophariaceae,Psilocybe,Psilocybe fasciata Hongo (1957) [MB#304483],

アイゾメイグチ,Gyroporus cyanescens</i> var. <i>violaceotinctus,,Gyroporus cyanescens (Bull.) Quél. var. violaceotinctus Watling,クリイロイグチ科,クリイロイグチ属,Gyroporaceae,Gyroporus,,

アイゾメクロイグチ,Porphyrellus fumosipes,,Porphyrellus fumosipes (Peck) Snell,イグチ科,クロイグチ属,Boletaceae,Porphyrellus,"Porphyrellus fumosipes (Peck) Snell, Mycologia 37: 381 (1945) [MB#289929]","Tylopilus fumosipes (Peck) A.H. Sm. & Thiers, The Boletes of Michigan: 103 (1971) [MB#325153]<br />Ceriomyces fumosipes (Peck) Murrill, Mycologia 1 (4): 154 (1909) [MB#468524]

<br />Boletus fumosipes Peck, Annual Report on the New York State Museum of Natural History 50: 108 (1897) [MB#140264]

"

アイゾメシバフタケ,Psilocybe subcaerulipes,,Psilocybe subcaerulipes Hongo,モエギタケ科,シビレタケ属,Strophariaceae,Psilocybe,"Psilocybe subcaerulipes Hongo, Journal of Japanese Botany 33: 44 (1958) [MB#304497]",

アイゾメヒカゲタケ,Panaeolus cyanescens,,Panaeolus cyanescens (Berk. & Broome) Sacc.,オキナタケ科,ヒカゲタケ属,Bolbitiaceae,Panaeolus,"Panaeolus cyanescens (Berk. & Broome) Sacc., Sylloge Fungorum 5: 1123 (1887) [MB#169479]","Copelandia cyanescens (Berk. & Broome) Singer, Lilloa 22: 473 (1951) [MB#295630]<br />Agaricus cyanescens Berk. & Broome, Botanical Journal of the Linnean Society 11: 557 (1871) [MB#461765]

"

アイタケ,Russula virescens,,,,,,,"Russula virescens (Schaeff.) Fr., Anteckningar öfver de i Sverige växande ätliga svampar: 50 (1836) [MB#203449]","Russula virescens var. albidocitrina Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France: 234, t. 54 (1876) [MB#513972]<br />Agaricus caseosus Wallr., Flora Cryptogamica Germaniae 2: 728 (1833) [MB#248199]

<br />Russula furcata var. aeruginosa Pers., Observationes mycologicae 1: 103 (1796) [MB#494193]

<br />Agaricus virescens Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 40, t. 94 (1774) [MB#242592]

"

アイフウセンタケ,Cortinarius privignus,,Cortinarius privignus (Fr.) Fr. ,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius privignus (Fr.) Fr., Epicrisis Systematis Mycologici: 304 (1838) [MB#162754]","Agaricus malachius var. privignus Fr., Observationes mycologicae 2: 72 (1818) [MB#477002]"

アイフウセンタケモドキ,Cortinarius privignoides,,Cortinarius privignoides Rob. Henry ,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius privignoides Rob. Henry, Bulletin de la Société Mycologique de France 64 (1-2): 40 (1948) [MB#440883]","Hydrocybe privignoides (Rob. Henry) M.M. Moser, Kleine Kryptogamenflora von Mitteleuropa - Die Blätter- und Bauchpilze (Agaricales und Gastromycetes) 2: 164 (1953) [MB#298617]"

アオアシアセタケ,Inocybe calamistrata,,Inocybe calamistrata (Fr.) Gillet,アセタケ科,アセタケ属,Inocybaceae,Inocybe,"Inocybe calamistrata (Fr.) Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France 1: 513 (1876) [MB#232510]","Inocybe praetermissa P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 11: 3 (1885) [MB#239808]<br />Agaricus hirsutus Lasch, Linnaea 4: 546 (1829) [MB#461481]

<br />Agaricus calamistratus Fr., Systema Mycologicum 1: 256 (1821) [MB#239098]

"

アオアシフウセンタケ,Cortinarius glaucopus,,Cortinarius glaucopus (Schaeff.) Fr.,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius glaucopus (Schaeff.) Gray, A natural arrangement of British plants 1: 629 (1821) [MB#230205]","Cortinarius glaucopoides Kauffman, Papers of the Michigan Academy of Sciences 1: 133 (1921) [MB#266079]<br />Phlegmacium glaucopus (Schaeff.) Wünsche, Die Pilze. Eine Anleitung zur Kenntniss derselben: 131 (1877) [MB#357329]

<br />Myxacium glaucopus (Schaeff.) P. Kumm., Der Führer in die Pilzkunde: 92 (1871) [MB#507932]

<br />Agaricus subcyaneus Batsch, Elenchus fungorum: 47 (1783) [MB#495436]

<br />Agaricus glaucopus Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 23, t. 53 (1774) [MB#224905]

"

アオイヌシメジ,Clitocybe odora,,Clitocybe odora (Bull.) P. Kumm.,キシメジ科,ハイイロシメジ属,Tricholomataceae,Clitocybe,"Clitocybe odora (Bull.) P. Kumm., Der Führer in die Pilzkunde: 121 (1871) [MB#190577]","Rubeolarius odorus (Bull.) Raithelh., Die Gattung Clitocybe: 17 (1981) [MB#373250]

<br />Lepista odora (Bull.) Harmaja, Karstenia 15: 15 (1976) [MB#316555]

<br />Agaricus suaveolens Trog (1832) [MB#243850]<br />Gymnopus odorus (Bull.) Gray, A natural arrangement of British plants 1: 606 (1821) [MB#486461]

<br />Agaricus viridis With., An arrangement of British plants 4: 198 (1796) [MB#490491]

<br />Agaricus anisatus Pers., Observationes mycologicae 1: 44 (1796) [MB#208350]

<br />Agaricus moschatus J.F. Gmel., Systema Naturae 2 (2): 1416 (1792) [MB#497090]

<br />Agaricus odorus Bull., Herbier de la France 4: t. 176 (1784) [MB#187653]

"

アオウツボホコリ,Arcyria glauca,,,,,,,Arcyria glauca Lister ex Minakata (1908) [MB#163007],

アオウロコタケ,Lichenomphalia hudsoniana,,,,,,,"Lichenomphalia hudsoniana (H.S. Jenn.) Redhead, Lutzoni, Moncalvo & Vilgalys, Mycotaxon 83: 38 (2002) [MB#375187]","Phytoconis hudsoniana (H.S. Jenn.) Redhead & Kuyper, Mycotaxon 31 (1): 222 (1988) [MB#306549]

<br />Omphalina hudsoniana (H.S. Jenn.) H.E. Bigelow, Mycologia 62: 15 (1970) [MB#357716]

<br />Gerronema hudsonianum (H.S. Jenn.) Singer, Flora Neotropica 3: 71 (1970) [MB#314442]

<br />Clitocybe hudsoniana (H.S. Jenn.) H.E. Bigelow, Rhodora 62: 189 (1960) [MB#328441]

<br />Omphalia luteolilacina J. Favre, Ergebnisse der Wissenschaftlichen Untersuchungen des Schweizerischen Nationalparks 5: 199 (1955) [MB#301997]<br />Hygrophorus hudsonianus H.S. Jenn., Mem. Carnegie Mus.: 2 (1936) [MB#252625]

<br />Agaricus alpinus Britzelm., Berichte des Naturwissenschaftlichen Vereins Schwaben Neuburg 30: 13 (1890) [MB#461733]

<br />Endocarpon viride Ach., Lichenographia Universalis: 300 (1810) [MB#384797]

"

アオエノモミウラタケ,Entoloma lampropus,,Entoloma lampropus (Fr.) Hesler,イッポンシメジ科,イッポンシメジ属,Entolomataceae,Entoloma,"Entoloma lampropus (Fr.) Hesler, Beihefte zur Nova Hedwigia 23: 154 (1967) [MB#330494]","Hyporrhodius lampropus (Fr.) Henn.: 138 (1898) [MB#585321]<br />Rhodophyllus lampropus (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 60 (1886) [MB#296219]

<br />Leptonia lampropus (Fr.) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 121 (1872) [MB#438609]

<br />Agaricus lampropus Fr., Systema Mycologicum 1: 203 (1821) [MB#449970]

"

アオカワキノリ,Leptogium pedicellatum,,,,,,,"Leptogium pedicellatum P.M. Jørg., Herzogia 3: 448 (1975) [MB#342470]",

アオキオチバタケ,Cryptomarasmius aucubae,,Cryptomarasmius aucubae (Neda) T.S. Jenkinson & Desjardin,ホウライタケ科,クリプトマラスミウス属,Marasmiaceae,Cryptomarasmius,"Cryptomarasmius aucubae (Neda) T.S. Jenkinson & Desjardin, Mycologia 106 (1): 92 (2014) [MB#561779]","Marasmius aukubae Neda (1998) [MB#450127]

<br />Marasmius aucubae Neda, Memoirs of the National Science Museum Tokyo 31: 92 (1998) [MB#539102]

"

アオキノリ,Leptogium azureum,,,,,,,"Leptogium azureum (Sw.) Mont., Histoire naturelle des Iles Canaries 3: 129 (1840) [MB#393327]","Leptogium moluccanum var. azureum (Sw.) Asahina: 28 (1932) [MB#435533]<br />Collema tremelloides var. azureum (Sw.) Eschw., Flora Brasiliensis seu enumeratio plantarum 1: 237 (1833) [MB#611704]

<br />Collema azureum (Sw.) Ach., Lichenographia Universalis: 654 (1810) [MB#383176]

<br />Parmelia azurea (Sw.) Ach., Methodus qua Omnes Detectos Lichenes Secundum Organa Carpomorpha ad Genera, Species et Varietates Redigere atque Observationibus Illustrare Tentavit Erik Acharius: 223 (1803) [MB#397197]

<br />Lichen azureus Sw., Lichenographiae Sueciae Prodromus: 137 (1799) [MB#393775]

"

アオシモゴケ,Icmadophila ericetorum,,,,,,,"Icmadophila ericetorum (L.) Zahlbr., Wissenschaftliche Mittheilungen aus Bosnien und der Hercegovina 3: 605 (1895) [MB#118970]","Baeomyces ericetorum (L.) Vain., Meddelanden af Societas pro Fauna et Flora Fennica 14: 20 (1888) [MB#378590]<br />Lichen ericetorum L., Species Plantarum: 1141 (1753) [MB#394001]

"

アオズキンタケ,Leotia chlorocephala,アオガシラズキンタケ（川村）,Leotia chlorocephala Schwein.,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia chlorocephala Schwein., Schriften der Naturforschenden Gesellschaft zu Leipzig 1: 114 (1822) [MB#214036]",

アオゾメクロツブタケ,Rossbeevera eucyanea,イロガワリクロツブタケ,Rossbeevera eucyanea Orihara,イグチ科,ロスビーベラ属,Boletaceae,Rossbeevera,"Rossbeevera eucyanea Orihara, Fungal Diversity 52 (1): 58, 73 (2012) [MB#560713]",Rosbeeva eucyanea Orihara (2012) [MB#519400]

アオゾメタケ,Postia caesia,,Postia caesia (Schrad.) P. Karst.,ツガサルノコシカケ科,オオオシロイタケ属,Fomitopsidaceae,Postia,"Postia caesia (Schrad.) P. Karst., Revue Mycologique Toulouse 3 (9): 17 (1881) [MB#438906]","Oligoporus caesius (Schrad.) Gilb. & Ryvarden, Mycotaxon 22 (2): 365 (1985) [MB#105572]

<br />Spongiporus caesius (Schrad.) A. David, Bulletin Mensuel de la Société Linnéenne de Lyon 49 (1): 10 (1980) [MB#114039]

<br />Leptoporus lacteus f. ciliatula (P. Karst.) Pilát (1938) [MB#268801]<br />Sebacina laciniata subsp. caesia (Pers.) Bourdot & Galzin (1928) [MB#252913]

<br />Polyporus alni Velen., Ceske Houby 4-5: 650 (1922) [MB#152387]

<br />Polystictus caesius (Schrad.) Bigeard & H. Guill., La Flore des Champignons supérieurs de France ed. 2: 373 (1913) [MB#470969]

<br />Cyanosporus caesius (Schrad.) McGinty (1909) [MB#144401]

<br />Tyromyces caesius (Schrad.) Murrill, North American Flora 9 (1): 34 (1907) [MB#356856]

<br />Polyporus caesiocoloratus Britzelm., Botanisches Centralblatt 54 (4): 103 (1893) [MB#184354]

<br />Bjerkandera ciliatula P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 14: 80 (1887) [MB#236032]

<br />Leptoporus caesius (Schrad.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 176 (1886) [MB#356495]

<br />Bjerkandera caesia (Schrad.) P. Karst., Acta Societatis pro Fauna et Flora Fennica 2 (1): 29 (1881) [MB#468214]

<br />Polyporus caesius (Schrad.) Fr., Systema Mycologicum 1: 360 (1821) [MB#193171]

<br />Boletus coeruleus Schumach., Enumeratio Plantarum, in Partibus Sællandiae Septentrionalis et Orientalis Crescentium 2: 387 (1803) [MB#468257]

<br />Boletus candidus Roth, Catalecta botanica quibus plantae novae et minus cognitae describuntur atque illustrantur 1: 244 (1797) [MB#157032]

<br />Boletus caesius Schrad., Spicilegium Florae Germanicae: 167 (1794) [MB#168035]

"

